oa_route,oa_route_es,oa_route_en,publications_with_doi,publications_with_aas_gt_0,altmetric_coverage_pct,median_aas_positive,mean_citations,median_citations,pct_cited_publications
diamond,Diamante,Diamond,1140,111,9.736842105263158,2.0,1.1798245614035088,0.0,42.19298245614035
green,Verde,Green,888,47,5.292792792792793,3.0,0.9177927927927928,0.0,9.572072072072071
hybrid,Híbrido,Hybrid,845,30,3.5502958579881656,5.0,1.82603550295858,0.0,30.295857988165682
gold,Dorado,Gold,755,74,9.801324503311259,3.0,2.1496688741721854,0.0,37.88079470198675
closed,Cerrado,Closed,426,60,14.084507042253522,2.5,1.7981220657276995,0.0,34.74178403755869
bronze,Bronce,Bronze,356,20,5.617977528089887,3.0,1.4662921348314606,0.0,29.49438202247191
