year,publications,with_doi,open_access,with_altmetric_attention,pct_with_doi,pct_open_access,pct_altmetric_over_total,pct_altmetric_over_doi
2020,2781,798,714,67,28.694714131607334,25.674217907227614,2.409205321826681,8.395989974937343
2021,3026,1284,1202,85,42.432253800396566,39.72240581625909,2.8089887640449436,6.619937694704049
2022,1227,871,816,75,70.98614506927466,66.50366748166259,6.112469437652812,8.610792192881746
2023,1003,1002,950,76,99.90029910269193,94.71585244267199,7.577268195413758,7.584830339321358
2024,456,455,383,39,99.78070175438597,83.99122807017544,8.552631578947368,8.571428571428571
